label,variance,skewness,curtosis,entropy
1,0.051979,7.0521,-2.0541,-3.1508
1,1.4578,-0.08485,4.1785,0.59136
1,0.88872,5.3449,2.045,-0.19355
1,2.8672,10.0008,-3.2049,-3.1095
1,4.4682,2.2907,0.95766,0.83058
1,0.33565,6.8369,0.69718,-0.55691
1,0.46901,-0.63321,7.3848,0.36507
1,0.44125,2.9487,4.3225,0.7155
-1,-2.3675,-0.43663,1.692,-0.43018
-1,-2.1234,1.1815,-0.55552,-0.81165
1,4.6499,7.6336,-1.9427,-0.37458
1,5.4188,10.1457,-4.084,-3.6991
-1,-4.1958,-8.1819,12.1291,-1.6017
1,3.2692,3.4184,0.20706,-0.066824
1,-0.11996,6.8741,0.91995,-0.6694
1,4.0972,0.46972,1.6671,0.91593
1,1.1315,7.9212,1.093,-2.8444
1,3.2403,-3.7082,5.2804,0.41291
-1,-2.5754,-5.6574,6.103,0.65214
-1,-0.66008,-3.226,3.8058,1.1836
1,4.0026,-3.5943,3.5573,0.26809
-1,-4.1479,7.1225,-0.083404,-6.4172
1,4.3398,-5.3036,3.8803,-0.70432
1,4.1542,7.2756,-2.4766,-1.2099
-1,-0.36372,3.0439,-3.4816,-2.7836
1,3.3577,-4.3062,6.0241,0.18274
1,2.6799,3.1349,0.34073,0.58489
-1,-1.7976,-6.7686,6.6753,0.89912
1,4.2756,-2.6528,2.1375,0.94437
1,-1.8348,11.0334,3.1863,-4.8888
1,3.5499,8.6165,-3.2794,-1.2009
1,5.3586,3.7557,-1.7345,1.0789
1,0.66018,10.3878,-1.4029,-3.9151
1,0.89606,10.5471,-1.4175,-4.0327
-1,-3.793,-12.7095,12.7957,-2.825
1,2.6463,-4.8152,6.3549,0.003003
-1,-0.26654,-0.64562,-0.42014,0.89136
-1,-1.522,-6.6383,5.7491,-0.10691
1,-0.2951,9.0489,-0.52725,-2.0789
1,4.1962,0.74493,0.83256,0.753
1,3.5257,1.2829,1.9276,1.7991
1,2.1948,1.3781,1.1582,0.85774
1,1.1432,-3.7413,5.5777,-0.63578
-1,-4.3967,4.9601,-0.64892,-5.4719
1,2.5817,9.7546,-3.1749,-2.9957
-1,-3.5895,-6.572,10.5251,-0.16381
-1,-0.0012852,0.13863,-0.19651,0.0081754
-1,-3.9411,-12.8792,13.0597,-3.3125
-1,-1.7697,3.4329,-1.2144,-2.3789
1,1.1676,9.1566,-2.0867,-0.80647
1,0.11739,6.2761,-1.5495,-2.4746
-1,0.83625,1.1071,-2.4706,-0.062945
1,3.6181,-3.7454,2.8273,-0.71208
1,3.5189,6.332,-1.7791,-0.020273
-1,1.3183,1.9017,-3.3111,0.065071
1,3.0009,5.8126,-2.2306,-0.66553
-1,-2.2173,1.4671,-0.72689,-1.1724
1,2.8561,6.9176,-0.79372,0.48403
1,2.6415,7.586,-0.28562,-1.6677
1,2.229,9.6325,-3.1123,-2.7164
1,4.2188,6.8162,-1.2804,0.76076
-1,-1.4233,-0.98912,2.3586,0.39481
1,4.0552,0.40143,1.4563,0.65343
1,2.093,8.3061,0.022844,-3.2724
1,4.9362,7.6046,-2.3429,-0.85302
-1,1.4378,0.66837,-2.0267,1.0271
1,3.4667,-4.0724,4.2882,1.5418
-1,-3.2051,-0.14279,0.97565,0.045675
1,3.4626,-4.449,3.5427,0.15429
1,-2.2623,12.1177,0.28846,-7.7581
1,2.4287,9.3821,-3.2477,-1.4543
-1,0.55939,-0.3104,0.18307,0.44653
1,3.4647,-3.9172,3.9746,0.36119
1,0.39559,6.8866,1.0588,-0.67587
1,4.2478,7.6956,-2.7696,-1.0767
1,1.6406,3.5488,1.3964,-0.36424
-1,-1.9881,0.99945,-0.28562,-0.70044
-1,-0.77461,-1.8768,2.4023,1.1319
-1,-1.9551,-6.9756,5.5383,-0.12889
1,2.3969,0.23589,4.8477,1.437
-1,-1.9725,2.8825,-2.3086,-2.3724
1,2.1059,7.6046,-0.47755,-1.8461
1,-1.4217,11.6542,-0.057699,-7.1025
-1,-0.69879,-3.3771,4.1211,1.5043
1,-0.91718,9.9884,1.1804,-5.2263
1,3.9121,2.9735,0.92852,0.60558
-1,-6.4247,9.5311,0.022844,-6.8517
-1,-0.1269,-1.1505,-0.95138,0.57843
-1,-4.8554,-5.9037,10.9818,-0.82199
1,1.3087,4.9228,2.0013,0.22024
-1,-3.5359,0.30417,0.6569,-0.2957
-1,-2.7264,3.9213,-0.49212,-3.6371
-1,-1.3907,-1.3781,2.3055,-0.021566
-1,-3.6053,-5.974,10.0916,-0.82846
-1,-3.551,1.8955,0.1865,-2.4409
1,0.65497,5.1815,1.0673,-0.42113
1,3.7935,7.9853,-2.5477,-1.872
-1,-4.4779,7.3708,-0.31218,-6.7754
-1,-2.4458,1.6285,-0.88541,-1.4802
1,2.8232,10.8513,-3.1466,-3.9784
-1,-3.5801,-12.9309,13.1779,-2.5677
-1,-6.5235,9.6014,-0.25392,-6.9642
1,4.5597,-2.4211,2.6413,1.6168
-1,-2.9786,2.3445,0.52667,-0.40173
-1,0.96708,3.8426,-4.9314,-4.1323
-1,-1.8391,-9.0883,9.2416,-0.10432
-1,1.4896,3.4288,-4.0309,-1.4259
1,4.6689,1.3098,0.055404,1.909
-1,-0.8471,3.1329,-3.0112,-2.9388
-1,-3.8053,2.4273,0.6809,-1.0871
-1,-2.9915,-6.6258,8.6521,1.8198
-1,0.0031201,-4.0061,1.7956,0.91722
-1,-3.8858,-12.8461,12.7957,-3.1353
-1,0.63655,5.2022,-5.2159,-6.1211
-1,-1.682,-6.8121,7.1398,1.3323
-1,-2.3277,1.4381,-0.82114,-1.2862
-1,-3.7573,-8.2916,10.3032,0.38059
-1,-2.0046,-0.49457,1.333,1.6543
-1,-2.8391,-6.63,10.4849,-0.42113
-1,-1.0292,-6.3879,5.5255,0.79955
-1,-2.0529,3.8385,-0.79544,-1.2138
-1,-1.8974,3.5074,-1.7842,-3.8491
1,2.6718,5.6574,0.72974,-1.4892
1,1.8314,6.3672,-0.036278,0.049554
1,3.757,-5.4236,3.8255,-1.2526
-1,-1.3414,-2.0776,2.8093,0.60688
1,3.6077,6.8576,-1.1622,0.28231
-1,-0.60254,1.7237,-2.1501,-0.77027
1,3.2294,7.7391,-0.37816,-2.5405
1,-2.6479,10.1374,-1.331,-5.4707
-1,0.67886,4.1199,-4.569,-4.1414
1,2.9543,1.076,0.64577,0.89394
1,0.1848,6.5079,2.0133,-0.87242
1,1.0987,0.6394,5.989,-0.58277
-1,-0.89569,3.0025,-3.6067,-3.4457
1,-1.4572,9.1214,1.7425,-5.1241
-1,-0.47465,-4.3496,1.9901,0.7517
1,4.0715,7.6398,-2.0824,-1.1698
-1,-4.2887,-7.8633,11.8387,-1.8978
1,4.8451,8.1116,-2.9512,-1.4724
1,3.4312,6.2637,-1.9513,-0.36165
1,-0.16735,7.6274,1.2061,-3.6241
1,4.9923,7.8653,-2.3515,-0.71984
1,0.33111,4.5731,2.057,-0.18967
-1,-1.5322,-5.0966,6.6779,0.17498
1,-1.5075,1.9224,7.1466,0.89136
1,3.4893,6.69,-1.2042,-0.38751
-1,0.48797,3.5674,-4.3882,-3.8116
-1,1.3451,0.23589,-1.8785,1.3258
1,3.2414,0.40971,1.4015,1.1952
1,2.4391,6.4417,-0.80743,-0.69139
1,1.594,4.7055,1.3758,0.081882
-1,-2.0631,-1.5147,1.219,0.44524
-1,-1.3971,3.3191,-1.3927,-1.9948
-1,-4.4775,-13.0303,17.0834,-3.0345
1,3.0948,8.7324,-2.9007,-0.96682
1,1.1518,1.3864,5.2727,-0.43536
1,3.6244,1.4609,1.3501,1.9284
1,3.5251,0.7201,1.6928,0.64438
-1,-2.0962,-7.1059,6.6188,-0.33708
-1,-2.5346,-0.77392,3.3602,0.00171
1,4.9294,0.27727,0.20792,0.33662
1,2.5328,7.528,-0.41929,-2.6478
-1,0.27331,4.8773,-4.9194,-5.8198
-1,-2.1405,-0.16762,1.321,-0.20906
-1,-3.3458,-0.50491,2.6328,0.53705
1,1.0652,8.3682,-1.4004,-1.6509
-1,-0.37013,-5.554,4.7749,1.547
-1,-1.1859,-1.2519,2.2635,0.77239
1,2.9163,10.8306,-3.3437,-4.122
-1,-0.82601,2.9611,-1.2864,-1.4647
1,3.1896,5.7526,-0.18537,-0.30087
-1,-3.518,2.8763,0.1548,-1.2086
1,3.3669,-5.1856,3.6935,-1.1427
1,3.482,-4.1634,3.5008,-0.078462
-1,-4.7462,3.1205,1.075,-1.2966
-1,-0.72068,-6.7583,5.8408,0.62369
1,6.0919,2.9673,-1.3267,1.4551
-1,0.26637,0.73252,-0.67891,0.03533
1,0.74054,0.36625,2.1992,0.48403
-1,-5.4808,8.1819,0.27818,-5.0323
-1,-3.506,-12.5667,15.1606,-0.75216
1,-0.53966,7.3273,0.46583,-1.4543
1,3.2351,9.647,-3.2074,-2.5948
1,3.9529,-2.3548,2.3792,0.48274
1,4.1665,-0.4449,0.23448,0.27843
-1,1.5077,1.9596,-3.0584,-0.12243
1,1.9358,8.1654,-0.023425,-2.2586
1,2.8521,9.171,-3.6461,-1.2047
