label,variance,skewness,curtosis,entropy
1,2.5089,6.841,-0.029423,0.44912
-1,-0.9854,-6.661,5.8245,0.5461
-1,-3.5713,-12.4922,14.8881,-0.47027
1,3.8832,6.4023,-2.432,-0.98363
1,2.0051,-6.8638,8.132,-0.2401
-1,-1.8782,-6.5865,4.8486,-0.021566
1,3.9166,10.2491,-4.0926,-4.4659
1,3.9102,6.065,-2.4534,-0.68234
1,2.2429,-4.1427,5.2333,-0.40173
1,-0.2062,9.2207,-3.7044,-6.8103
1,2.7206,9.0821,-3.3111,-0.96811
1,-0.24811,-0.17797,4.9068,0.15429
-1,-1.7064,3.3088,-2.2829,-2.1978
1,5.0429,-0.52974,0.50439,1.106
1,-0.2062,9.2207,-3.7044,-6.8103
-1,-0.89542,2.0279,-2.3652,-1.2746
1,2.2634,-4.4862,3.6558,-0.61251
-1,-3.4083,4.8587,-0.76888,-4.8668
1,1.2138,8.7986,-2.1672,-0.74182
-1,-3.5637,-8.3827,12.393,-1.2823
1,2.5068,1.1588,3.9249,0.12585
1,-1.5222,10.8409,2.7827,-4.0974
-1,-1.2786,-2.4087,4.5735,0.47627
1,1.143,0.83391,5.4552,-0.56984
-1,-2.0754,1.2767,-0.64206,-1.2642
-1,-3.6961,-13.6779,17.5795,-2.6181
1,4.7926,1.7071,-0.051701,1.4926
-1,-1.0116,-0.19038,-0.90597,0.003003
1,2.4012,1.6223,3.0312,0.71679
-1,-3.5985,-13.6593,17.6052,-2.4927
1,1.3562,3.2136,4.3465,0.78662
-1,-0.95403,1.9824,-2.3163,-1.1957
1,4.6352,-3.0087,2.6773,1.212
1,3.3756,-4.0951,4.367,1.0698
1,1.5456,8.5482,0.4187,-2.1784
1,1.941,0.46351,4.6472,1.0879
1,-1.9922,11.6542,2.6542,-5.2107
1,2.6719,3.0646,0.37158,0.58619
1,5.1731,3.9606,-1.983,0.40774
-1,-1.8046,-6.8141,6.7019,1.1681
-1,-2.799,1.9679,-0.42357,-2.1125
1,4.2772,2.4955,0.48554,0.36119
-1,-2.902,-7.6563,11.8318,-0.84268
1,3.4663,1.1112,1.7425,1.3388
1,2.8261,9.4007,-3.3034,-1.0509
-1,-3.3793,-13.7731,17.9274,-2.0323
1,2.8084,11.3045,-3.3394,-4.4194
1,-1.2537,10.8803,1.931,-4.3237
1,3.9292,-2.9156,2.2129,0.30817
1,4.7432,2.1086,0.1368,1.6543
-1,-0.98193,2.7956,-1.2341,-1.5668
1,3.946,6.8514,-1.5443,-0.5582
1,5.2756,0.13863,0.12138,1.1435
-1,-3.0201,-0.67253,2.7056,0.85774
1,4.3483,11.1079,-4.0857,-4.2539
1,0.24835,7.6439,0.9885,-0.87371
-1,0.55298,-3.4619,1.7048,1.1008
1,3.7321,-3.884,3.3577,-0.0060486
-1,-2.62,-6.8555,6.2169,-0.62285
-1,-2.3221,-9.3304,9.233,-0.79871
-1,-6.0598,9.2952,-0.43642,-6.3694
1,1.9572,-5.1153,8.6127,-1.4297
-1,-0.89809,-4.4862,2.2009,0.50731
-1,-2.1786,-6.4479,6.0344,-0.20777
-1,-0.55648,3.2136,-3.3085,-2.7965
-1,-5.1661,8.0433,0.044265,-4.4983
-1,-3.9172,2.6652,0.78886,-0.7819
1,5.0691,0.21313,0.20278,1.2095
-1,-4.8426,-4.9932,10.4052,-0.53104
-1,-0.87874,-2.2121,-0.051701,0.099985
1,0.93584,8.8855,-1.6831,-1.6599
1,3.0864,-2.5845,2.2309,0.30947
-1,-1.4628,-1.5706,2.4357,0.49826
-1,-0.52645,-0.24832,-0.45613,0.41938
1,4.0329,0.23175,0.89082,1.1823
1,3.7352,9.5911,-3.9032,-3.3487
-1,-0.83535,0.80494,-1.6411,-0.19225
-1,1.7425,3.6833,-4.0129,-1.7207
1,2.1752,-0.8091,5.1022,-0.67975
-1,-0.76794,3.4598,-3.4405,-3.4276
1,0.58836,10.7727,-1.3884,-4.3276
-1,-0.91318,-2.0113,-0.19565,0.066365
-1,0.7049,0.17174,-1.7859,0.36119
1,2.3952,9.5083,-3.1783,-3.0086
1,3.5594,1.3078,1.291,1.6556
1,4.1349,6.1189,-2.4294,-0.19613
1,5.504,10.3671,-4.413,-4.0211
1,2.5678,3.5136,0.61406,-0.40691
1,3.4566,9.5228,-4.0112,-3.5944
-1,-2.286,-5.4484,5.8039,0.88231
-1,-0.24745,1.9368,-2.4697,-0.80518
-1,-4.3773,-5.5167,10.939,-0.4082
1,3.5761,9.7753,-3.9795,-3.4638
-1,-1.0802,2.1996,-2.5862,-1.2759
-1,-1.9966,-9.5001,9.682,-0.12889
-1,-1.4427,3.2922,-1.9702,-3.4392
-1,-1.6514,-8.4985,9.1122,1.2379
-1,-5.4414,7.2363,0.10938,-7.5642
1,0.0071249,8.3661,0.50781,-3.8155
1,4.5707,7.2094,-3.2794,-1.4944
-1,-2.2214,-0.23798,0.56008,0.05602
1,3.1377,-4.1096,4.5701,0.98963
-1,-1.0112,2.9984,-1.1664,-1.6185
-1,-2.5373,-6.959,8.8054,1.5289
1,4.6765,-3.3895,3.4896,1.4771
-1,-1.1667,-1.4237,2.9241,0.66119
1,1.602,6.1251,0.52924,0.47886
1,4.0102,10.6568,-4.1388,-5.0646
-1,0.3434,0.12415,-0.28733,0.14654
-1,-2.6649,-12.813,12.6689,-1.9082
1,0.5195,-3.2633,3.0895,-0.9849
1,-2.6479,10.1374,-1.331,-5.4707
1,0.80355,2.8473,4.3439,0.6017
-1,-2.659,-1.6058,1.3647,0.16464
-1,0.53936,3.8944,-4.8166,-4.3418
1,2.5331,2.9135,-0.822,-0.12243
-1,1.2572,4.8731,-5.2861,-5.8741
