label,variance,skewness,curtosis,entropy
-1,-5.2049,7.259,0.070827,-7.3004
-1,-1.5449,-10.1498,9.6152,-1.2332
1,1.162,10.2926,-1.2821,-4.0392
-1,-1.7886,-6.3486,5.6154,0.42584
1,4.5645,-3.6275,2.8684,0.27714
1,2.9736,8.7944,-3.6359,-1.3754
-1,-3.3884,-8.215,10.3315,0.98187
1,2.9719,6.8369,-0.2702,0.71291
-1,-3.8552,3.5219,-0.38415,-3.8608
1,1.8238,-6.7748,8.3873,-0.54139
-1,-3.8953,4.0392,-0.3019,-2.1836
1,3.9771,11.1513,-3.9272,-4.3444
1,3.4805,9.7008,-3.7541,-3.4379
-1,-1.7713,-10.7665,10.2184,-1.0043
1,2.0153,1.8479,3.1375,0.42843
-1,-1.2244,1.7485,-1.4801,-1.4181
1,5.9374,6.1664,-2.5905,-0.36553
1,-2.2261,12.5398,2.9438,-3.5258
1,2.5367,2.599,2.0938,0.20085
-1,-0.69078,-0.50077,-0.35417,0.47498
-1,-0.75793,2.5349,-3.0464,-1.2629
1,-0.13144,-1.7775,8.3316,0.35214
-1,-2.2617,-4.7428,6.3489,0.11162
1,5.1321,-0.031048,0.32616,1.1151
1,4.2969,7.617,-2.3874,-0.96164
-1,-1.1022,-5.8395,4.5641,0.68705
-1,-1.8629,-0.84841,2.5377,0.097399
1,3.8023,-3.8696,4.044,0.95343
-1,-0.55355,-7.9233,6.7156,0.74394
1,0.38478,6.5989,-0.3336,-0.56466
-1,-0.62043,0.5587,-0.38587,-0.66423
-1,-2.0149,3.6874,-1.9385,-3.8918
1,-0.2361,9.3221,2.1307,-4.3793
1,4.0552,-2.4583,2.2806,1.0323
-1,-2.3211,3.166,-1.0002,-2.7151
-1,-4.2932,3.3419,0.77258,-0.99785
-1,-3.1273,-7.1121,11.3897,-0.083634
1,-0.7056,8.7241,2.2215,-4.5965
1,1.4479,-4.8794,8.3428,-2.1086
1,3.3397,-4.6145,3.9823,-0.23751
-1,2.0177,1.7982,-2.9581,0.2099
1,2.6946,6.7976,-0.40301,0.44912
-1,0.90407,3.3708,-4.4987,-3.6965
1,3.8384,6.1851,-2.0439,-0.033204
1,2.5581,2.6218,1.8513,0.40257
